Customer ID,Customer Name,Email,Plan Name,Monthly Fee,Order Date,Status,Churn Date,Last Login Date,Total Logins,Support Tickets,Country,Sales Amount,Product Name
SUB-3017,Subscriber 3017,subscriber_3017@gmail.com,Enterprise,249.0,2026-04-27,Active,,2026-06-11,5,3,Canada,249.0,SaaS Enterprise Subscription
SUB-3018,Subscriber 3018,subscriber_3018@gmail.com,Professional,79.0,2026-05-09,Active,,2026-06-11,20,3,United States,79.0,SaaS Professional Subscription
SUB-3019,Subscriber 3019,subscriber_3019@gmail.com,Basic,29.0,2026-05-18,Active,,2026-06-06,179,14,United States,29.0,SaaS Basic Subscription
SUB-3020,Subscriber 3020,subscriber_3020@gmail.com,Basic,29.0,2026-06-18,Active,,2026-06-04,462,13,United States,29.0,SaaS Basic Subscription
SUB-3021,Subscriber 3021,subscriber_3021@gmail.com,Basic,29.0,2026-01-01,Active,,2026-06-12,367,7,United Kingdom,29.0,SaaS Basic Subscription
SUB-3022,Subscriber 3022,subscriber_3022@gmail.com,Basic,29.0,2025-10-18,Active,,2026-05-22,229,3,Australia,29.0,SaaS Basic Subscription
SUB-3023,Subscriber 3023,subscriber_3023@gmail.com,Professional,79.0,2026-06-18,Active,,2026-05-20,185,14,United Kingdom,79.0,SaaS Professional Subscription
SUB-3024,Subscriber 3024,subscriber_3024@gmail.com,Professional,79.0,2025-08-07,Active,,2026-05-30,39,5,Australia,79.0,SaaS Professional Subscription
SUB-3025,Subscriber 3025,subscriber_3025@gmail.com,Basic,29.0,2025-07-27,Active,,2026-06-07,376,9,United Kingdom,29.0,SaaS Basic Subscription
SUB-3026,Subscriber 3026,subscriber_3026@gmail.com,Basic,29.0,2025-10-08,Active,,2026-06-06,27,14,United Kingdom,29.0,SaaS Basic Subscription
SUB-3027,Subscriber 3027,subscriber_3027@gmail.com,Professional,79.0,2025-11-04,Active,,2026-05-14,336,10,United States,79.0,SaaS Professional Subscription
SUB-3028,Subscriber 3028,subscriber_3028@gmail.com,Professional,79.0,2025-07-08,Active,,2026-06-05,434,0,Canada,79.0,SaaS Professional Subscription
SUB-3029,Subscriber 3029,subscriber_3029@gmail.com,Basic,29.0,2026-04-20,Churned,2026-07-16,2026-05-26,421,9,United States,29.0,SaaS Basic Subscription
SUB-3030,Subscriber 3030,subscriber_3030@gmail.com,Basic,29.0,2025-09-17,Churned,2026-01-17,2026-05-30,480,1,Australia,29.0,SaaS Basic Subscription
SUB-3031,Subscriber 3031,subscriber_3031@gmail.com,Basic,29.0,2025-09-05,Active,,2026-06-18,388,4,Australia,29.0,SaaS Basic Subscription
SUB-3032,Subscriber 3032,subscriber_3032@gmail.com,Basic,29.0,2026-02-18,Active,,2026-05-28,80,0,Australia,29.0,SaaS Basic Subscription
SUB-3033,Subscriber 3033,subscriber_3033@gmail.com,Basic,29.0,2026-04-04,Active,,2026-05-28,486,14,United Kingdom,29.0,SaaS Basic Subscription
SUB-3034,Subscriber 3034,subscriber_3034@gmail.com,Professional,79.0,2025-07-18,Active,,2026-05-25,301,12,United States,79.0,SaaS Professional Subscription
SUB-3035,Subscriber 3035,subscriber_3035@gmail.com,Basic,29.0,2025-09-17,Active,,2026-06-04,225,2,United States,29.0,SaaS Basic Subscription
SUB-3036,Subscriber 3036,subscriber_3036@gmail.com,Basic,29.0,2025-11-05,Active,,2026-05-29,317,2,United States,29.0,SaaS Basic Subscription
SUB-3037,Subscriber 3037,subscriber_3037@gmail.com,Professional,79.0,2026-04-20,Active,,2026-05-21,330,14,Australia,79.0,SaaS Professional Subscription
SUB-3038,Subscriber 3038,subscriber_3038@gmail.com,Basic,29.0,2026-05-28,Churned,2026-10-05,2026-06-03,155,4,Canada,29.0,SaaS Basic Subscription
SUB-3039,Subscriber 3039,subscriber_3039@gmail.com,Professional,79.0,2026-03-04,Active,,2026-06-22,252,8,Australia,79.0,SaaS Professional Subscription
SUB-3040,Subscriber 3040,subscriber_3040@gmail.com,Basic,29.0,2026-01-27,Active,,2026-06-12,240,10,Canada,29.0,SaaS Basic Subscription
SUB-3041,Subscriber 3041,subscriber_3041@gmail.com,Basic,29.0,2026-05-04,Active,,2026-05-12,391,2,United States,29.0,SaaS Basic Subscription
SUB-3042,Subscriber 3042,subscriber_3042@gmail.com,Professional,79.0,2025-12-19,Active,,2026-06-01,382,3,United Kingdom,79.0,SaaS Professional Subscription
SUB-3043,Subscriber 3043,subscriber_3043@gmail.com,Professional,79.0,2025-08-07,Active,,2026-05-18,130,9,Canada,79.0,SaaS Professional Subscription
SUB-3044,Subscriber 3044,subscriber_3044@gmail.com,Basic,29.0,2026-03-09,Churned,2026-10-13,2026-06-12,25,12,United Kingdom,29.0,SaaS Basic Subscription
SUB-3045,Subscriber 3045,subscriber_3045@gmail.com,Basic,29.0,2026-02-14,Churned,2026-08-25,2026-05-24,196,9,Canada,29.0,SaaS Basic Subscription
SUB-3046,Subscriber 3046,subscriber_3046@gmail.com,Professional,79.0,2026-01-17,Active,,2026-05-30,279,10,Canada,79.0,SaaS Professional Subscription
SUB-3047,Subscriber 3047,subscriber_3047@gmail.com,Basic,29.0,2026-03-11,Churned,2026-07-05,2026-05-23,156,9,United Kingdom,29.0,SaaS Basic Subscription
SUB-3048,Subscriber 3048,subscriber_3048@gmail.com,Basic,29.0,2026-06-24,Active,,2026-05-26,355,9,United Kingdom,29.0,SaaS Basic Subscription
SUB-3049,Subscriber 3049,subscriber_3049@gmail.com,Professional,79.0,2025-07-04,Churned,2025-10-01,2026-06-14,157,11,Australia,79.0,SaaS Professional Subscription
SUB-3050,Subscriber 3050,subscriber_3050@gmail.com,Professional,79.0,2026-03-02,Churned,2026-04-26,2026-06-20,61,10,Canada,79.0,SaaS Professional Subscription
SUB-3051,Subscriber 3051,subscriber_3051@gmail.com,Professional,79.0,2026-06-23,Active,,2026-05-29,273,8,Canada,79.0,SaaS Professional Subscription
SUB-3052,Subscriber 3052,subscriber_3052@gmail.com,Basic,29.0,2025-09-11,Active,,2026-05-17,347,7,Canada,29.0,SaaS Basic Subscription
SUB-3053,Subscriber 3053,subscriber_3053@gmail.com,Basic,29.0,2025-07-11,Active,,2026-05-21,45,6,Canada,29.0,SaaS Basic Subscription
SUB-3054,Subscriber 3054,subscriber_3054@gmail.com,Professional,79.0,2025-10-30,Active,,2026-06-22,386,6,United States,79.0,SaaS Professional Subscription
SUB-3055,Subscriber 3055,subscriber_3055@gmail.com,Enterprise,249.0,2026-05-05,Active,,2026-06-09,58,3,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3056,Subscriber 3056,subscriber_3056@gmail.com,Professional,79.0,2025-07-26,Active,,2026-06-08,149,9,United Kingdom,79.0,SaaS Professional Subscription
SUB-3057,Subscriber 3057,subscriber_3057@gmail.com,Professional,79.0,2026-04-23,Active,,2026-06-03,298,5,United Kingdom,79.0,SaaS Professional Subscription
SUB-3058,Subscriber 3058,subscriber_3058@gmail.com,Basic,29.0,2025-08-16,Active,,2026-06-08,204,4,Australia,29.0,SaaS Basic Subscription
SUB-3059,Subscriber 3059,subscriber_3059@gmail.com,Professional,79.0,2026-01-15,Active,,2026-05-29,491,14,United States,79.0,SaaS Professional Subscription
SUB-3060,Subscriber 3060,subscriber_3060@gmail.com,Professional,79.0,2025-07-09,Active,,2026-05-29,196,10,Australia,79.0,SaaS Professional Subscription
SUB-3061,Subscriber 3061,subscriber_3061@gmail.com,Enterprise,249.0,2025-08-12,Active,,2026-06-03,130,10,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3062,Subscriber 3062,subscriber_3062@gmail.com,Basic,29.0,2026-03-14,Active,,2026-06-04,486,8,Canada,29.0,SaaS Basic Subscription
SUB-3063,Subscriber 3063,subscriber_3063@gmail.com,Basic,29.0,2026-03-12,Active,,2026-05-28,115,7,Australia,29.0,SaaS Basic Subscription
SUB-3064,Subscriber 3064,subscriber_3064@gmail.com,Professional,79.0,2025-09-20,Churned,2025-11-18,2026-06-08,81,11,Australia,79.0,SaaS Professional Subscription
SUB-3065,Subscriber 3065,subscriber_3065@gmail.com,Enterprise,249.0,2026-05-14,Active,,2026-06-01,126,0,Canada,249.0,SaaS Enterprise Subscription
SUB-3066,Subscriber 3066,subscriber_3066@gmail.com,Professional,79.0,2026-04-02,Active,,2026-06-05,144,7,United Kingdom,79.0,SaaS Professional Subscription
SUB-3067,Subscriber 3067,subscriber_3067@gmail.com,Basic,29.0,2026-02-15,Active,,2026-06-25,28,2,Australia,29.0,SaaS Basic Subscription
SUB-3068,Subscriber 3068,subscriber_3068@gmail.com,Basic,29.0,2025-10-22,Active,,2026-06-21,187,4,United Kingdom,29.0,SaaS Basic Subscription
SUB-3069,Subscriber 3069,subscriber_3069@gmail.com,Basic,29.0,2025-11-27,Active,,2026-06-18,119,6,United Kingdom,29.0,SaaS Basic Subscription
SUB-3070,Subscriber 3070,subscriber_3070@gmail.com,Professional,79.0,2025-07-17,Churned,2025-10-14,2026-06-25,181,0,Australia,79.0,SaaS Professional Subscription
SUB-3071,Subscriber 3071,subscriber_3071@gmail.com,Basic,29.0,2025-09-11,Active,,2026-06-12,361,5,United States,29.0,SaaS Basic Subscription
SUB-3072,Subscriber 3072,subscriber_3072@gmail.com,Basic,29.0,2025-08-03,Active,,2026-05-28,294,12,Australia,29.0,SaaS Basic Subscription
SUB-3073,Subscriber 3073,subscriber_3073@gmail.com,Professional,79.0,2025-11-30,Churned,2026-07-21,2026-06-02,355,5,United States,79.0,SaaS Professional Subscription
SUB-3074,Subscriber 3074,subscriber_3074@gmail.com,Basic,29.0,2026-04-28,Active,,2026-06-17,291,7,United States,29.0,SaaS Basic Subscription
SUB-3075,Subscriber 3075,subscriber_3075@gmail.com,Professional,79.0,2026-04-25,Active,,2026-05-23,355,7,United Kingdom,79.0,SaaS Professional Subscription
SUB-3076,Subscriber 3076,subscriber_3076@gmail.com,Professional,79.0,2026-05-22,Active,,2026-05-17,329,13,Canada,79.0,SaaS Professional Subscription
SUB-3077,Subscriber 3077,subscriber_3077@gmail.com,Basic,29.0,2025-08-16,Active,,2026-06-08,57,0,United States,29.0,SaaS Basic Subscription
SUB-3078,Subscriber 3078,subscriber_3078@gmail.com,Basic,29.0,2026-03-12,Active,,2026-06-12,31,13,United States,29.0,SaaS Basic Subscription
SUB-3079,Subscriber 3079,subscriber_3079@gmail.com,Professional,79.0,2025-12-24,Active,,2026-06-13,94,11,Australia,79.0,SaaS Professional Subscription
SUB-3080,Subscriber 3080,subscriber_3080@gmail.com,Basic,29.0,2026-04-15,Active,,2026-05-19,265,8,Australia,29.0,SaaS Basic Subscription
SUB-3081,Subscriber 3081,subscriber_3081@gmail.com,Basic,29.0,2026-05-25,Active,,2026-06-17,477,0,United Kingdom,29.0,SaaS Basic Subscription
SUB-3082,Subscriber 3082,subscriber_3082@gmail.com,Professional,79.0,2025-09-09,Active,,2026-05-28,101,10,Canada,79.0,SaaS Professional Subscription
SUB-3083,Subscriber 3083,subscriber_3083@gmail.com,Basic,29.0,2025-08-23,Active,,2026-06-04,317,6,Canada,29.0,SaaS Basic Subscription
SUB-3084,Subscriber 3084,subscriber_3084@gmail.com,Basic,29.0,2026-02-19,Churned,2026-08-29,2026-05-29,394,14,Canada,29.0,SaaS Basic Subscription
SUB-3085,Subscriber 3085,subscriber_3085@gmail.com,Professional,79.0,2026-06-16,Active,,2026-05-15,125,6,Canada,79.0,SaaS Professional Subscription
SUB-3086,Subscriber 3086,subscriber_3086@gmail.com,Basic,29.0,2025-11-15,Active,,2026-05-21,445,2,United Kingdom,29.0,SaaS Basic Subscription
SUB-3087,Subscriber 3087,subscriber_3087@gmail.com,Basic,29.0,2025-11-22,Active,,2026-06-12,357,2,Australia,29.0,SaaS Basic Subscription
SUB-3088,Subscriber 3088,subscriber_3088@gmail.com,Basic,29.0,2025-09-04,Active,,2026-05-29,74,3,United States,29.0,SaaS Basic Subscription
SUB-3089,Subscriber 3089,subscriber_3089@gmail.com,Enterprise,249.0,2025-11-15,Churned,2026-03-11,2026-06-03,307,8,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3090,Subscriber 3090,subscriber_3090@gmail.com,Basic,29.0,2025-10-15,Active,,2026-06-07,354,9,Australia,29.0,SaaS Basic Subscription
SUB-3091,Subscriber 3091,subscriber_3091@gmail.com,Enterprise,249.0,2026-04-26,Active,,2026-06-14,378,5,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3092,Subscriber 3092,subscriber_3092@gmail.com,Basic,29.0,2026-03-07,Active,,2026-06-06,265,2,United Kingdom,29.0,SaaS Basic Subscription
SUB-3093,Subscriber 3093,subscriber_3093@gmail.com,Basic,29.0,2025-06-27,Active,,2026-05-28,199,4,Australia,29.0,SaaS Basic Subscription
SUB-3094,Subscriber 3094,subscriber_3094@gmail.com,Basic,29.0,2025-11-11,Churned,2026-05-20,2026-05-27,417,5,United Kingdom,29.0,SaaS Basic Subscription
SUB-3095,Subscriber 3095,subscriber_3095@gmail.com,Basic,29.0,2026-05-07,Active,,2026-06-21,386,1,United Kingdom,29.0,SaaS Basic Subscription
SUB-3096,Subscriber 3096,subscriber_3096@gmail.com,Basic,29.0,2025-12-28,Active,,2026-06-07,369,0,United Kingdom,29.0,SaaS Basic Subscription
SUB-3097,Subscriber 3097,subscriber_3097@gmail.com,Basic,29.0,2026-03-02,Active,,2026-05-16,127,9,United Kingdom,29.0,SaaS Basic Subscription
SUB-3098,Subscriber 3098,subscriber_3098@gmail.com,Professional,79.0,2025-10-01,Active,,2026-06-09,315,4,Canada,79.0,SaaS Professional Subscription
SUB-3099,Subscriber 3099,subscriber_3099@gmail.com,Professional,79.0,2026-04-10,Active,,2026-05-21,480,11,United States,79.0,SaaS Professional Subscription
SUB-3100,Subscriber 3100,subscriber_3100@gmail.com,Basic,29.0,2026-02-22,Active,,2026-05-30,414,10,United States,29.0,SaaS Basic Subscription
SUB-3101,Subscriber 3101,subscriber_3101@gmail.com,Basic,29.0,2026-06-15,Active,,2026-06-18,96,5,Canada,29.0,SaaS Basic Subscription
SUB-3102,Subscriber 3102,subscriber_3102@gmail.com,Enterprise,249.0,2026-04-12,Active,,2026-05-17,36,10,Canada,249.0,SaaS Enterprise Subscription
SUB-3103,Subscriber 3103,subscriber_3103@gmail.com,Professional,79.0,2026-05-13,Active,,2026-06-21,148,1,Canada,79.0,SaaS Professional Subscription
SUB-3104,Subscriber 3104,subscriber_3104@gmail.com,Professional,79.0,2025-09-07,Active,,2026-05-15,449,5,United States,79.0,SaaS Professional Subscription
SUB-3105,Subscriber 3105,subscriber_3105@gmail.com,Basic,29.0,2026-03-27,Active,,2026-06-20,476,10,Australia,29.0,SaaS Basic Subscription
SUB-3106,Subscriber 3106,subscriber_3106@gmail.com,Professional,79.0,2025-07-07,Active,,2026-05-15,155,6,United Kingdom,79.0,SaaS Professional Subscription
SUB-3107,Subscriber 3107,subscriber_3107@gmail.com,Basic,29.0,2026-03-14,Active,,2026-05-12,283,9,Canada,29.0,SaaS Basic Subscription
SUB-3108,Subscriber 3108,subscriber_3108@gmail.com,Basic,29.0,2025-12-07,Active,,2026-05-21,12,12,United Kingdom,29.0,SaaS Basic Subscription
SUB-3109,Subscriber 3109,subscriber_3109@gmail.com,Basic,29.0,2026-01-28,Active,,2026-06-03,243,6,United Kingdom,29.0,SaaS Basic Subscription
SUB-3110,Subscriber 3110,subscriber_3110@gmail.com,Professional,79.0,2026-05-26,Churned,2026-09-05,2026-06-17,481,1,Canada,79.0,SaaS Professional Subscription
SUB-3111,Subscriber 3111,subscriber_3111@gmail.com,Basic,29.0,2025-10-16,Active,,2026-05-30,384,1,United States,29.0,SaaS Basic Subscription
SUB-3112,Subscriber 3112,subscriber_3112@gmail.com,Basic,29.0,2025-06-27,Active,,2026-06-18,337,10,United States,29.0,SaaS Basic Subscription
SUB-3113,Subscriber 3113,subscriber_3113@gmail.com,Professional,79.0,2025-08-30,Active,,2026-05-29,48,2,Canada,79.0,SaaS Professional Subscription
SUB-3114,Subscriber 3114,subscriber_3114@gmail.com,Basic,29.0,2026-05-30,Active,,2026-05-16,455,1,United Kingdom,29.0,SaaS Basic Subscription
SUB-3115,Subscriber 3115,subscriber_3115@gmail.com,Enterprise,249.0,2026-06-04,Active,,2026-06-16,365,14,Canada,249.0,SaaS Enterprise Subscription
SUB-3116,Subscriber 3116,subscriber_3116@gmail.com,Basic,29.0,2026-05-27,Active,,2026-06-25,186,6,Canada,29.0,SaaS Basic Subscription
SUB-3117,Subscriber 3117,subscriber_3117@gmail.com,Basic,29.0,2025-09-22,Active,,2026-05-31,6,13,Canada,29.0,SaaS Basic Subscription
SUB-3118,Subscriber 3118,subscriber_3118@gmail.com,Basic,29.0,2025-10-04,Active,,2026-06-15,331,14,Australia,29.0,SaaS Basic Subscription
SUB-3119,Subscriber 3119,subscriber_3119@gmail.com,Basic,29.0,2025-11-16,Churned,2026-07-21,2026-06-06,415,8,Australia,29.0,SaaS Basic Subscription
SUB-3120,Subscriber 3120,subscriber_3120@gmail.com,Enterprise,249.0,2025-07-18,Active,,2026-05-15,371,10,Canada,249.0,SaaS Enterprise Subscription
SUB-3121,Subscriber 3121,subscriber_3121@gmail.com,Basic,29.0,2025-07-11,Active,,2026-06-03,497,4,United States,29.0,SaaS Basic Subscription
SUB-3122,Subscriber 3122,subscriber_3122@gmail.com,Basic,29.0,2025-09-02,Churned,2026-02-14,2026-06-17,71,7,Australia,29.0,SaaS Basic Subscription
SUB-3123,Subscriber 3123,subscriber_3123@gmail.com,Basic,29.0,2026-01-16,Churned,2026-07-18,2026-05-13,99,11,Canada,29.0,SaaS Basic Subscription
SUB-3124,Subscriber 3124,subscriber_3124@gmail.com,Enterprise,249.0,2025-12-31,Active,,2026-06-03,302,13,Canada,249.0,SaaS Enterprise Subscription
SUB-3125,Subscriber 3125,subscriber_3125@gmail.com,Professional,79.0,2025-10-01,Active,,2026-05-19,179,10,Australia,79.0,SaaS Professional Subscription
SUB-3126,Subscriber 3126,subscriber_3126@gmail.com,Enterprise,249.0,2026-06-10,Churned,2026-10-27,2026-05-15,454,14,Australia,249.0,SaaS Enterprise Subscription
SUB-3127,Subscriber 3127,subscriber_3127@gmail.com,Basic,29.0,2025-10-23,Active,,2026-05-25,337,3,United Kingdom,29.0,SaaS Basic Subscription
SUB-3128,Subscriber 3128,subscriber_3128@gmail.com,Basic,29.0,2026-03-14,Active,,2026-06-13,424,1,Canada,29.0,SaaS Basic Subscription
SUB-3129,Subscriber 3129,subscriber_3129@gmail.com,Basic,29.0,2025-11-08,Active,,2026-05-16,171,9,Australia,29.0,SaaS Basic Subscription
SUB-3130,Subscriber 3130,subscriber_3130@gmail.com,Professional,79.0,2026-06-19,Active,,2026-05-28,468,13,Canada,79.0,SaaS Professional Subscription
SUB-3131,Subscriber 3131,subscriber_3131@gmail.com,Professional,79.0,2025-07-20,Churned,2025-10-31,2026-06-18,286,10,United States,79.0,SaaS Professional Subscription
SUB-3132,Subscriber 3132,subscriber_3132@gmail.com,Enterprise,249.0,2025-10-04,Churned,2026-04-13,2026-06-07,379,2,Canada,249.0,SaaS Enterprise Subscription
SUB-3133,Subscriber 3133,subscriber_3133@gmail.com,Basic,29.0,2025-12-20,Churned,2026-05-30,2026-06-21,66,3,Canada,29.0,SaaS Basic Subscription
SUB-3134,Subscriber 3134,subscriber_3134@gmail.com,Basic,29.0,2026-03-13,Churned,2026-10-13,2026-05-23,436,7,United States,29.0,SaaS Basic Subscription
SUB-3135,Subscriber 3135,subscriber_3135@gmail.com,Basic,29.0,2026-01-11,Active,,2026-06-08,323,9,Canada,29.0,SaaS Basic Subscription
SUB-3136,Subscriber 3136,subscriber_3136@gmail.com,Professional,79.0,2025-07-09,Active,,2026-06-22,457,4,United States,79.0,SaaS Professional Subscription
SUB-3137,Subscriber 3137,subscriber_3137@gmail.com,Basic,29.0,2025-11-19,Active,,2026-05-27,470,5,United States,29.0,SaaS Basic Subscription
SUB-3138,Subscriber 3138,subscriber_3138@gmail.com,Professional,79.0,2025-08-31,Churned,2026-02-01,2026-06-15,396,2,United States,79.0,SaaS Professional Subscription
SUB-3139,Subscriber 3139,subscriber_3139@gmail.com,Basic,29.0,2026-06-05,Active,,2026-06-22,489,0,United Kingdom,29.0,SaaS Basic Subscription
SUB-3140,Subscriber 3140,subscriber_3140@gmail.com,Enterprise,249.0,2025-11-09,Churned,2026-07-10,2026-06-03,377,10,Australia,249.0,SaaS Enterprise Subscription
SUB-3141,Subscriber 3141,subscriber_3141@gmail.com,Basic,29.0,2026-04-08,Active,,2026-06-24,208,3,Canada,29.0,SaaS Basic Subscription
SUB-3142,Subscriber 3142,subscriber_3142@gmail.com,Basic,29.0,2026-03-14,Churned,2026-06-13,2026-05-19,270,11,United States,29.0,SaaS Basic Subscription
SUB-3143,Subscriber 3143,subscriber_3143@gmail.com,Enterprise,249.0,2025-08-25,Active,,2026-05-22,269,1,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3144,Subscriber 3144,subscriber_3144@gmail.com,Basic,29.0,2025-11-10,Active,,2026-05-24,451,9,United Kingdom,29.0,SaaS Basic Subscription
SUB-3145,Subscriber 3145,subscriber_3145@gmail.com,Professional,79.0,2025-11-15,Active,,2026-05-26,409,6,United Kingdom,79.0,SaaS Professional Subscription
SUB-3146,Subscriber 3146,subscriber_3146@gmail.com,Basic,29.0,2025-09-05,Active,,2026-05-28,447,14,Australia,29.0,SaaS Basic Subscription
SUB-3147,Subscriber 3147,subscriber_3147@gmail.com,Basic,29.0,2026-06-24,Active,,2026-05-16,398,13,Canada,29.0,SaaS Basic Subscription
SUB-3148,Subscriber 3148,subscriber_3148@gmail.com,Basic,29.0,2025-08-05,Active,,2026-06-06,340,3,United States,29.0,SaaS Basic Subscription
SUB-3149,Subscriber 3149,subscriber_3149@gmail.com,Professional,79.0,2026-04-21,Active,,2026-06-24,445,13,Canada,79.0,SaaS Professional Subscription
SUB-3150,Subscriber 3150,subscriber_3150@gmail.com,Basic,29.0,2026-01-29,Active,,2026-05-26,434,6,Australia,29.0,SaaS Basic Subscription
SUB-3151,Subscriber 3151,subscriber_3151@gmail.com,Professional,79.0,2026-05-11,Active,,2026-06-01,72,14,Canada,79.0,SaaS Professional Subscription
SUB-3152,Subscriber 3152,subscriber_3152@gmail.com,Basic,29.0,2026-05-16,Active,,2026-05-31,220,9,United States,29.0,SaaS Basic Subscription
SUB-3153,Subscriber 3153,subscriber_3153@gmail.com,Professional,79.0,2026-02-19,Active,,2026-05-16,382,0,United Kingdom,79.0,SaaS Professional Subscription
SUB-3154,Subscriber 3154,subscriber_3154@gmail.com,Professional,79.0,2026-04-06,Active,,2026-05-28,262,10,United States,79.0,SaaS Professional Subscription
SUB-3155,Subscriber 3155,subscriber_3155@gmail.com,Basic,29.0,2026-01-02,Churned,2026-03-27,2026-06-03,37,10,United Kingdom,29.0,SaaS Basic Subscription
SUB-3156,Subscriber 3156,subscriber_3156@gmail.com,Enterprise,249.0,2025-11-24,Active,,2026-05-20,356,3,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3157,Subscriber 3157,subscriber_3157@gmail.com,Basic,29.0,2026-03-20,Active,,2026-05-22,271,12,United Kingdom,29.0,SaaS Basic Subscription
SUB-3158,Subscriber 3158,subscriber_3158@gmail.com,Basic,29.0,2026-01-23,Active,,2026-06-23,356,4,Australia,29.0,SaaS Basic Subscription
SUB-3159,Subscriber 3159,subscriber_3159@gmail.com,Basic,29.0,2025-12-18,Active,,2026-06-01,218,2,United States,29.0,SaaS Basic Subscription
SUB-3160,Subscriber 3160,subscriber_3160@gmail.com,Basic,29.0,2026-01-19,Active,,2026-05-13,203,7,United States,29.0,SaaS Basic Subscription
SUB-3161,Subscriber 3161,subscriber_3161@gmail.com,Enterprise,249.0,2025-08-15,Active,,2026-06-13,348,1,United Kingdom,249.0,SaaS Enterprise Subscription
SUB-3162,Subscriber 3162,subscriber_3162@gmail.com,Basic,29.0,2025-06-30,Active,,2026-06-08,367,8,United Kingdom,29.0,SaaS Basic Subscription
SUB-3163,Subscriber 3163,subscriber_3163@gmail.com,Professional,79.0,2026-01-31,Active,,2026-05-18,344,5,Canada,79.0,SaaS Professional Subscription
SUB-3164,Subscriber 3164,subscriber_3164@gmail.com,Basic,29.0,2025-10-13,Active,,2026-06-19,122,8,Australia,29.0,SaaS Basic Subscription
SUB-3165,Subscriber 3165,subscriber_3165@gmail.com,Professional,79.0,2026-06-16,Churned,2026-12-12,2026-06-22,336,5,United States,79.0,SaaS Professional Subscription
SUB-3166,Subscriber 3166,subscriber_3166@gmail.com,Professional,79.0,2026-04-20,Active,,2026-06-18,159,12,United States,79.0,SaaS Professional Subscription
SUB-3167,Subscriber 3167,subscriber_3167@gmail.com,Basic,29.0,2025-12-08,Active,,2026-06-13,92,5,United States,29.0,SaaS Basic Subscription
