Order ID,Order Date,Customer ID,Customer Name,Email,Product Category,Product Name,Unit Price,Quantity,Discount,Sales Amount,Profit,Payment Method,Country,State,Region
ORD-500018,2025-03-14,C-2163,User Name 2163,user_2163@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,5.87,Stripe,United States,Pennsylvania,North America
ORD-500019,2026-04-16,C-2185,User Name 2185,user_2185@example.com,Electronics,Wireless Mouse,29.99,1,0.0,29.99,14.83,Debit Card,United States,California,North America
ORD-500020,2025-09-22,C-2166,User Name 2166,user_2166@example.com,Home Decor,Indoor Plant,22.99,1,0.0,22.99,5.16,PayPal,United States,Ohio,North America
ORD-500021,2025-06-01,C-2119,User Name 2119,user_2119@example.com,Electronics,Webcam,59.99,1,0.0,59.99,29.17,Debit Card,United States,Ohio,North America
ORD-500022,2026-03-26,C-2068,User Name 2068,user_2068@example.com,Office Supplies,Paper Shredder,45.99,1,0.0,45.99,17.59,Debit Card,United States,Pennsylvania,North America
ORD-500023,2026-01-15,C-2154,User Name 2154,user_2154@example.com,Electronics,Monitor,189.99,1,0.0,189.99,64.12,Stripe,United States,Ohio,North America
ORD-500024,2026-01-10,C-2140,User Name 2140,user_2140@example.com,Office Supplies,Sticky Notes,3.99,3,0.0,11.97,3.29,Debit Card,United States,Washington,North America
ORD-500025,2025-10-21,C-2193,User Name 2193,user_2193@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,8.65,Debit Card,United States,California,North America
ORD-500026,2026-04-06,C-2157,User Name 2157,user_2157@example.com,Office Supplies,Notebook,8.99,3,0.0,26.97,8.49,Credit Card,United States,Georgia,North America
ORD-500027,2025-05-17,C-2141,User Name 2141,user_2141@example.com,Electronics,Webcam,59.99,1,0.0,59.99,28.65,Debit Card,United States,Washington,North America
ORD-500028,2025-09-06,C-2124,User Name 2124,user_2124@example.com,Office Supplies,Paper Shredder,45.99,2,0.0,91.98,39.22,Credit Card,United States,Florida,North America
ORD-500029,2025-04-19,C-2105,User Name 2105,user_2105@example.com,Office Supplies,Sticky Notes,3.99,2,0.0,7.98,2.84,Stripe,United States,California,North America
ORD-500030,2025-12-12,C-2174,User Name 2174,user_2174@example.com,Electronics,Webcam,59.99,1,0.1,53.99,18.12,Debit Card,United States,California,North America
ORD-500031,2025-12-18,C-2160,User Name 2160,user_2160@example.com,Electronics,Keyboard,49.99,2,0.0,99.98,33.28,Debit Card,United States,Florida,North America
ORD-500032,2026-05-07,C-2124,User Name 2124,user_2124@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,5.35,PayPal,United States,Pennsylvania,North America
ORD-500033,2025-02-12,C-2091,User Name 2091,user_2091@example.com,Books,Self-Help Book,12.99,1,0.2,10.39,2.57,Credit Card,United States,Pennsylvania,North America
ORD-500034,2026-01-16,C-2112,User Name 2112,user_2112@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,3.53,Debit Card,United States,Ohio,North America
ORD-500035,2025-03-21,C-2002,User Name 2002,user_2002@example.com,Office Supplies,Gel Pens,5.99,1,0.0,5.99,2.4,Stripe,United States,Texas,North America
ORD-500036,2025-12-29,C-2110,User Name 2110,user_2110@example.com,Home Decor,Scented Candle,12.99,3,0.0,38.97,13.21,Debit Card,United States,California,North America
ORD-500037,2025-05-05,C-2160,User Name 2160,user_2160@example.com,Home Decor,Scented Candle,12.99,2,0.2,20.78,8.55,Debit Card,United States,Washington,North America
ORD-500038,2025-03-29,C-2009,User Name 2009,user_2009@example.com,Books,Fiction Novel,14.99,2,0.0,29.98,11.59,Debit Card,United States,Georgia,North America
ORD-500039,2026-05-01,C-2025,User Name 2025,user_2025@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,12.13,Debit Card,United States,New York,North America
ORD-500040,2025-08-05,C-2139,User Name 2139,user_2139@example.com,Books,Sci-Fi Trilogy,34.99,1,0.0,34.99,15.45,PayPal,United States,Florida,North America
ORD-500041,2025-06-25,C-2175,User Name 2175,user_2175@example.com,Office Supplies,Sticky Notes,3.99,1,0.0,3.99,1.26,Apple Pay,United States,Georgia,North America
ORD-500042,2026-02-06,C-2141,User Name 2141,user_2141@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,23.09,Debit Card,United States,New York,North America
ORD-500043,2025-05-20,C-2023,User Name 2023,user_2023@example.com,Electronics,Monitor,189.99,2,0.0,379.98,165.37,Apple Pay,United States,Georgia,North America
ORD-500044,2026-02-25,C-2143,User Name 2143,user_2143@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,7.74,PayPal,United States,Georgia,North America
ORD-500045,2026-01-24,C-2115,User Name 2115,user_2115@example.com,Office Supplies,Paper Shredder,45.99,1,0.0,45.99,13.44,Credit Card,United States,Washington,North America
ORD-500046,2025-08-09,C-2139,User Name 2139,user_2139@example.com,Office Supplies,Desk Organizer,19.99,2,0.0,39.98,13.9,Stripe,United States,Washington,North America
ORD-500047,2026-02-03,C-2150,User Name 2150,user_2150@example.com,Electronics,USB-C Hub,39.99,2,0.0,79.98,33.86,Apple Pay,United States,Pennsylvania,North America
ORD-500048,2026-01-29,C-2139,User Name 2139,user_2139@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,11.1,PayPal,United States,Texas,North America
ORD-500049,2025-09-11,C-2011,User Name 2011,user_2011@example.com,Home Decor,Wall Art,49.99,1,0.0,49.99,24.87,Debit Card,United States,California,North America
ORD-500050,2025-06-08,C-2036,User Name 2036,user_2036@example.com,Electronics,USB-C Hub,39.99,2,0.0,79.98,32.11,Debit Card,United States,Florida,North America
ORD-500051,2026-01-26,C-2076,User Name 2076,user_2076@example.com,Books,Self-Help Book,12.99,1,0.2,10.39,4.79,Credit Card,United States,Georgia,North America
ORD-500052,2026-03-28,C-2180,User Name 2180,user_2180@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,2.86,Debit Card,United States,Washington,North America
ORD-500053,2025-11-27,C-2029,User Name 2029,user_2029@example.com,Office Supplies,Desk Organizer,19.99,2,0.0,39.98,17.13,Debit Card,United States,Washington,North America
ORD-500054,2026-06-06,C-2057,User Name 2057,user_2057@example.com,Office Supplies,Notebook,8.99,1,0.0,8.99,2.52,Apple Pay,United States,Georgia,North America
ORD-500055,2025-04-27,C-2097,User Name 2097,user_2097@example.com,Home Decor,Scented Candle,12.99,1,0.1,11.69,4.89,Credit Card,United States,Pennsylvania,North America
ORD-500056,2025-07-28,C-2190,User Name 2190,user_2190@example.com,Books,Self-Help Book,12.99,2,0.2,20.78,5.21,Stripe,United States,Florida,North America
ORD-500057,2026-03-04,C-2064,User Name 2064,user_2064@example.com,Home Decor,Scented Candle,12.99,2,0.0,25.98,6.42,Apple Pay,United States,Texas,North America
ORD-500058,2025-05-27,C-2109,User Name 2109,user_2109@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,16.05,Apple Pay,United States,Washington,North America
ORD-500059,2026-01-01,C-2108,User Name 2108,user_2108@example.com,Home Decor,Wall Art,49.99,2,0.0,99.98,23.69,PayPal,United States,Florida,North America
ORD-500060,2025-04-15,C-2130,User Name 2130,user_2130@example.com,Office Supplies,Gel Pens,5.99,3,0.0,17.97,8.85,Credit Card,United States,Texas,North America
ORD-500061,2026-01-07,C-2140,User Name 2140,user_2140@example.com,Books,Biography,24.99,1,0.0,24.99,12.04,Stripe,United States,Georgia,North America
ORD-500062,2026-04-04,C-2088,User Name 2088,user_2088@example.com,Home Decor,Throw Pillow,15.99,2,0.0,31.98,15.19,Credit Card,United States,Florida,North America
ORD-500063,2025-12-21,C-2184,User Name 2184,user_2184@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,10.24,Stripe,United States,Pennsylvania,North America
ORD-500064,2026-03-11,C-2105,User Name 2105,user_2105@example.com,Books,Sci-Fi Trilogy,34.99,1,0.0,34.99,15.29,Credit Card,United States,Georgia,North America
ORD-500065,2025-11-15,C-2167,User Name 2167,user_2167@example.com,Office Supplies,Notebook,8.99,1,0.0,8.99,3.2,PayPal,United States,Ohio,North America
ORD-500066,2025-09-03,C-2120,User Name 2120,user_2120@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,13.94,Credit Card,United States,Georgia,North America
ORD-500067,2025-07-06,C-2093,User Name 2093,user_2093@example.com,Electronics,Monitor,189.99,1,0.0,189.99,51.2,Debit Card,United States,Georgia,North America
ORD-500068,2026-06-09,C-2056,User Name 2056,user_2056@example.com,Home Decor,Throw Pillow,15.99,2,0.0,31.98,7.3,Apple Pay,United States,Ohio,North America
ORD-500069,2025-11-08,C-2064,User Name 2064,user_2064@example.com,Electronics,Wireless Mouse,29.99,2,0.0,59.98,29.3,Stripe,United States,New York,North America
ORD-500070,2026-06-16,C-2117,User Name 2117,user_2117@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,13.38,Credit Card,United States,California,North America
ORD-500071,2026-03-28,C-2113,User Name 2113,user_2113@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,13.93,Apple Pay,United States,Florida,North America
ORD-500072,2025-10-21,C-2122,User Name 2122,user_2122@example.com,Home Decor,Throw Pillow,15.99,1,0.2,12.79,3.93,Apple Pay,United States,California,North America
ORD-500073,2026-06-17,C-2075,User Name 2075,user_2075@example.com,Office Supplies,Notebook,8.99,2,0.0,17.98,3.71,Debit Card,United States,Florida,North America
ORD-500074,2025-07-18,C-2102,User Name 2102,user_2102@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,10.3,PayPal,United States,Ohio,North America
ORD-500075,2025-08-09,C-2194,User Name 2194,user_2194@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,6.23,Debit Card,United States,Florida,North America
ORD-500076,2025-04-21,C-2059,User Name 2059,user_2059@example.com,Home Decor,Desk Lamp,34.99,3,0.2,83.98,41.27,Apple Pay,United States,Washington,North America
ORD-500077,2026-02-10,C-2065,User Name 2065,user_2065@example.com,Electronics,USB-C Hub,39.99,2,0.1,71.98,21.5,Debit Card,United States,Ohio,North America
ORD-500078,2026-02-16,C-2010,User Name 2010,user_2010@example.com,Electronics,USB-C Hub,39.99,2,0.0,79.98,17.29,Debit Card,United States,Ohio,North America
ORD-500079,2025-07-14,C-2016,User Name 2016,user_2016@example.com,Books,Cookbook,19.99,1,0.2,15.99,5.52,Stripe,United States,Georgia,North America
ORD-500080,2025-09-06,C-2069,User Name 2069,user_2069@example.com,Office Supplies,Desk Organizer,19.99,1,0.0,19.99,4.8,PayPal,United States,California,North America
ORD-500081,2026-03-07,C-2113,User Name 2113,user_2113@example.com,Home Decor,Throw Pillow,15.99,3,0.0,47.97,20.07,Apple Pay,United States,Pennsylvania,North America
ORD-500082,2025-11-07,C-2151,User Name 2151,user_2151@example.com,Office Supplies,Notebook,8.99,2,0.1,16.18,8.09,Stripe,United States,New York,North America
ORD-500083,2025-10-23,C-2164,User Name 2164,user_2164@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,11.32,Debit Card,United States,Georgia,North America
ORD-500084,2025-10-12,C-2040,User Name 2040,user_2040@example.com,Books,Self-Help Book,12.99,2,0.1,23.38,11.23,PayPal,United States,California,North America
ORD-500085,2026-02-04,C-2077,User Name 2077,user_2077@example.com,Office Supplies,Sticky Notes,3.99,1,0.0,3.99,1.68,Apple Pay,United States,New York,North America
ORD-500086,2026-05-15,C-2078,User Name 2078,user_2078@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,20.49,Debit Card,United States,New York,North America
ORD-500087,2026-04-24,C-2090,User Name 2090,user_2090@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,5.29,Apple Pay,United States,Washington,North America
ORD-500088,2026-05-11,C-2039,User Name 2039,user_2039@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,2.89,Credit Card,United States,Pennsylvania,North America
ORD-500089,2025-06-19,C-2129,User Name 2129,user_2129@example.com,Home Decor,Desk Lamp,34.99,2,0.2,55.98,16.27,Stripe,United States,Georgia,North America
ORD-500090,2025-03-25,C-2126,User Name 2126,user_2126@example.com,Home Decor,Desk Lamp,34.99,3,0.0,104.97,21.67,Credit Card,United States,New York,North America
ORD-500091,2025-08-15,C-2125,User Name 2125,user_2125@example.com,Electronics,Wireless Mouse,29.99,2,0.0,59.98,25.23,Debit Card,United States,California,North America
ORD-500092,2026-02-02,C-2109,User Name 2109,user_2109@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,4.15,Apple Pay,United States,Texas,North America
ORD-500093,2025-08-12,C-2191,User Name 2191,user_2191@example.com,Books,Cookbook,19.99,1,0.0,19.99,6.09,Stripe,United States,Ohio,North America
ORD-500094,2025-03-07,C-2191,User Name 2191,user_2191@example.com,Office Supplies,Desk Organizer,19.99,2,0.1,35.98,17.53,Stripe,United States,Texas,North America
ORD-500095,2026-04-20,C-2180,User Name 2180,user_2180@example.com,Books,Biography,24.99,1,0.0,24.99,12.0,Apple Pay,United States,Florida,North America
ORD-500096,2026-05-24,C-2059,User Name 2059,user_2059@example.com,Office Supplies,Sticky Notes,3.99,2,0.0,7.98,2.1,Apple Pay,United States,California,North America
ORD-500097,2025-12-19,C-2099,User Name 2099,user_2099@example.com,Books,Cookbook,19.99,1,0.0,19.99,5.53,PayPal,United States,Florida,North America
ORD-500098,2025-12-12,C-2100,User Name 2100,user_2100@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,5.98,PayPal,United States,Pennsylvania,North America
ORD-500099,2025-11-05,C-2114,User Name 2114,user_2114@example.com,Home Decor,Wall Art,49.99,1,0.0,49.99,18.49,Credit Card,United States,Ohio,North America
ORD-500100,2025-02-28,C-2090,User Name 2090,user_2090@example.com,Books,Fiction Novel,14.99,1,0.1,13.49,5.42,Stripe,United States,Georgia,North America
ORD-500101,2026-05-21,C-2195,User Name 2195,user_2195@example.com,Home Decor,Scented Candle,12.99,3,0.2,31.18,8.29,Debit Card,United States,Florida,North America
ORD-500102,2025-02-11,C-2061,User Name 2061,user_2061@example.com,Books,Cookbook,19.99,1,0.1,17.99,5.07,PayPal,United States,New York,North America
ORD-500103,2025-04-02,C-2035,User Name 2035,user_2035@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,4.15,Stripe,United States,Pennsylvania,North America
ORD-500104,2026-04-14,C-2068,User Name 2068,user_2068@example.com,Books,Fiction Novel,14.99,1,0.0,14.99,5.25,Credit Card,United States,Georgia,North America
ORD-500105,2026-02-18,C-2073,User Name 2073,user_2073@example.com,Electronics,Monitor,189.99,2,0.0,379.98,80.25,Apple Pay,United States,Ohio,North America
ORD-500106,2025-10-01,C-2153,User Name 2153,user_2153@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,7.83,Apple Pay,United States,Washington,North America
ORD-500107,2025-12-11,C-2082,User Name 2082,user_2082@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,5.62,Stripe,United States,California,North America
ORD-500108,2025-04-07,C-2187,User Name 2187,user_2187@example.com,Office Supplies,Gel Pens,5.99,1,0.0,5.99,2.18,Debit Card,United States,Pennsylvania,North America
ORD-500109,2026-05-31,C-2127,User Name 2127,user_2127@example.com,Home Decor,Indoor Plant,22.99,1,0.0,22.99,9.59,Apple Pay,United States,Georgia,North America
ORD-500110,2026-04-19,C-2007,User Name 2007,user_2007@example.com,Office Supplies,Paper Shredder,45.99,1,0.0,45.99,15.58,Stripe,United States,Georgia,North America
ORD-500111,2026-01-18,C-2051,User Name 2051,user_2051@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,3.06,Debit Card,United States,Georgia,North America
ORD-500112,2025-02-13,C-2029,User Name 2029,user_2029@example.com,Electronics,Monitor,189.99,1,0.2,151.99,41.55,Stripe,United States,Ohio,North America
ORD-500113,2025-04-18,C-2192,User Name 2192,user_2192@example.com,Books,Biography,24.99,3,0.0,74.97,20.76,Credit Card,United States,California,North America
ORD-500114,2025-06-29,C-2147,User Name 2147,user_2147@example.com,Books,Sci-Fi Trilogy,34.99,1,0.0,34.99,9.76,Debit Card,United States,Florida,North America
ORD-500115,2025-07-09,C-2160,User Name 2160,user_2160@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,16.93,Stripe,United States,Pennsylvania,North America
ORD-500116,2026-05-29,C-2198,User Name 2198,user_2198@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,3.69,Apple Pay,United States,Ohio,North America
ORD-500117,2025-05-24,C-2154,User Name 2154,user_2154@example.com,Books,Cookbook,19.99,2,0.0,39.98,9.64,Debit Card,United States,Texas,North America
ORD-500118,2026-06-14,C-2138,User Name 2138,user_2138@example.com,Books,Fiction Novel,14.99,3,0.0,44.97,19.74,PayPal,United States,Texas,North America
ORD-500119,2026-01-30,C-2159,User Name 2159,user_2159@example.com,Office Supplies,Gel Pens,5.99,2,0.0,11.98,3.09,Credit Card,United States,Georgia,North America
ORD-500120,2025-02-13,C-2170,User Name 2170,user_2170@example.com,Home Decor,Scented Candle,12.99,2,0.0,25.98,10.96,PayPal,United States,Pennsylvania,North America
ORD-500121,2026-03-12,C-2043,User Name 2043,user_2043@example.com,Electronics,Keyboard,49.99,1,0.2,39.99,8.54,Credit Card,United States,Washington,North America
ORD-500122,2025-10-27,C-2052,User Name 2052,user_2052@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,12.47,Credit Card,United States,California,North America
ORD-500123,2025-10-11,C-2197,User Name 2197,user_2197@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,5.94,Debit Card,United States,Texas,North America
ORD-500124,2025-09-20,C-2159,User Name 2159,user_2159@example.com,Home Decor,Wall Art,49.99,2,0.2,79.98,22.66,Stripe,United States,New York,North America
ORD-500125,2025-10-30,C-2095,User Name 2095,user_2095@example.com,Office Supplies,Sticky Notes,3.99,1,0.1,3.59,1.55,Credit Card,United States,Washington,North America
ORD-500126,2025-11-02,C-2109,User Name 2109,user_2109@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,3.77,Credit Card,United States,Texas,North America
ORD-500127,2025-05-08,C-2090,User Name 2090,user_2090@example.com,Office Supplies,Desk Organizer,19.99,1,0.0,19.99,7.08,Debit Card,United States,Florida,North America
ORD-500128,2025-02-24,C-2139,User Name 2139,user_2139@example.com,Electronics,Monitor,189.99,1,0.0,189.99,78.72,Apple Pay,United States,Ohio,North America
ORD-500129,2026-06-11,C-2066,User Name 2066,user_2066@example.com,Office Supplies,Notebook,8.99,2,0.0,17.98,4.65,Credit Card,United States,Florida,North America
ORD-500130,2026-05-23,C-2027,User Name 2027,user_2027@example.com,Office Supplies,Notebook,8.99,2,0.0,17.98,7.38,Credit Card,United States,New York,North America
ORD-500131,2026-02-22,C-2148,User Name 2148,user_2148@example.com,Home Decor,Scented Candle,12.99,2,0.2,20.78,8.74,Credit Card,United States,Ohio,North America
ORD-500132,2025-08-27,C-2072,User Name 2072,user_2072@example.com,Home Decor,Wall Art,49.99,1,0.0,49.99,14.65,PayPal,United States,Texas,North America
ORD-500133,2025-06-30,C-2174,User Name 2174,user_2174@example.com,Office Supplies,Paper Shredder,45.99,1,0.0,45.99,10.91,Apple Pay,United States,New York,North America
ORD-500134,2026-04-24,C-2005,User Name 2005,user_2005@example.com,Electronics,Wireless Mouse,29.99,1,0.0,29.99,11.98,Apple Pay,United States,Florida,North America
ORD-500135,2025-03-09,C-2113,User Name 2113,user_2113@example.com,Office Supplies,Gel Pens,5.99,3,0.1,16.17,5.29,Apple Pay,United States,Texas,North America
ORD-500136,2025-12-01,C-2143,User Name 2143,user_2143@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,5.44,Debit Card,United States,California,North America
ORD-500137,2026-03-18,C-2170,User Name 2170,user_2170@example.com,Office Supplies,Notebook,8.99,2,0.0,17.98,5.71,Apple Pay,United States,Texas,North America
ORD-500138,2026-05-01,C-2171,User Name 2171,user_2171@example.com,Home Decor,Wall Art,49.99,2,0.0,99.98,21.67,PayPal,United States,Georgia,North America
ORD-500139,2026-02-11,C-2120,User Name 2120,user_2120@example.com,Home Decor,Wall Art,49.99,1,0.0,49.99,14.22,Debit Card,United States,Georgia,North America
ORD-500140,2026-01-06,C-2032,User Name 2032,user_2032@example.com,Home Decor,Scented Candle,12.99,1,0.1,11.69,3.18,PayPal,United States,Pennsylvania,North America
ORD-500141,2026-01-31,C-2197,User Name 2197,user_2197@example.com,Books,Sci-Fi Trilogy,34.99,1,0.2,27.99,9.32,Apple Pay,United States,Washington,North America
ORD-500142,2025-06-06,C-2133,User Name 2133,user_2133@example.com,Home Decor,Throw Pillow,15.99,2,0.0,31.98,7.7,Debit Card,United States,Florida,North America
ORD-500143,2025-05-20,C-2181,User Name 2181,user_2181@example.com,Office Supplies,Desk Organizer,19.99,1,0.1,17.99,4.52,Debit Card,United States,Florida,North America
ORD-500144,2025-08-22,C-2130,User Name 2130,user_2130@example.com,Books,Self-Help Book,12.99,3,0.2,31.18,7.19,Credit Card,United States,Georgia,North America
ORD-500145,2025-12-10,C-2138,User Name 2138,user_2138@example.com,Home Decor,Throw Pillow,15.99,1,0.0,15.99,5.44,PayPal,United States,Texas,North America
ORD-500146,2026-06-18,C-2111,User Name 2111,user_2111@example.com,Home Decor,Scented Candle,12.99,1,0.0,12.99,4.21,PayPal,United States,Pennsylvania,North America
ORD-500147,2025-02-26,C-2000,User Name 2000,user_2000@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,14.86,Debit Card,United States,Pennsylvania,North America
ORD-500148,2025-06-23,C-2128,User Name 2128,user_2128@example.com,Home Decor,Scented Candle,12.99,2,0.0,25.98,12.19,PayPal,United States,California,North America
ORD-500149,2026-02-05,C-2110,User Name 2110,user_2110@example.com,Office Supplies,Sticky Notes,3.99,2,0.0,7.98,3.82,Credit Card,United States,Georgia,North America
ORD-500150,2025-05-30,C-2176,User Name 2176,user_2176@example.com,Electronics,Webcam,59.99,1,0.0,59.99,17.61,PayPal,United States,New York,North America
ORD-500151,2025-05-07,C-2142,User Name 2142,user_2142@example.com,Electronics,Monitor,189.99,1,0.0,189.99,94.24,Credit Card,United States,Texas,North America
ORD-500152,2025-03-28,C-2180,User Name 2180,user_2180@example.com,Home Decor,Throw Pillow,15.99,1,0.1,14.39,6.93,PayPal,United States,Ohio,North America
ORD-500153,2025-11-08,C-2107,User Name 2107,user_2107@example.com,Electronics,USB-C Hub,39.99,1,0.0,39.99,15.98,Apple Pay,United States,Pennsylvania,North America
ORD-500154,2025-12-22,C-2171,User Name 2171,user_2171@example.com,Electronics,Keyboard,49.99,1,0.0,49.99,24.8,PayPal,United States,Georgia,North America
ORD-500155,2025-12-03,C-2167,User Name 2167,user_2167@example.com,Books,Biography,24.99,1,0.0,24.99,12.27,Apple Pay,United States,Georgia,North America
ORD-500156,2026-03-26,C-2196,User Name 2196,user_2196@example.com,Books,Biography,24.99,1,0.1,22.49,10.06,Apple Pay,United States,Georgia,North America
ORD-500157,2025-12-08,C-2062,User Name 2062,user_2062@example.com,Office Supplies,Gel Pens,5.99,2,0.0,11.98,4.51,Debit Card,United States,Ohio,North America
ORD-500158,2026-04-19,C-2166,User Name 2166,user_2166@example.com,Home Decor,Indoor Plant,22.99,1,0.1,20.69,4.24,PayPal,United States,Georgia,North America
ORD-500159,2025-10-24,C-2042,User Name 2042,user_2042@example.com,Books,Sci-Fi Trilogy,34.99,2,0.0,69.98,22.7,Debit Card,United States,Florida,North America
ORD-500160,2026-04-05,C-2109,User Name 2109,user_2109@example.com,Office Supplies,Paper Shredder,45.99,2,0.0,91.98,43.54,PayPal,United States,Washington,North America
ORD-500161,2026-03-30,C-2021,User Name 2021,user_2021@example.com,Books,Cookbook,19.99,1,0.2,15.99,4.75,Apple Pay,United States,Washington,North America
ORD-500162,2026-03-02,C-2164,User Name 2164,user_2164@example.com,Office Supplies,Paper Shredder,45.99,2,0.0,91.98,26.65,Debit Card,United States,Georgia,North America
ORD-500163,2026-05-23,C-2014,User Name 2014,user_2014@example.com,Electronics,Monitor,189.99,1,0.0,189.99,56.97,Credit Card,United States,Washington,North America
ORD-500164,2025-12-31,C-2048,User Name 2048,user_2048@example.com,Books,Biography,24.99,2,0.0,49.98,21.55,PayPal,United States,New York,North America
ORD-500165,2026-03-31,C-2109,User Name 2109,user_2109@example.com,Books,Self-Help Book,12.99,1,0.0,12.99,5.48,Credit Card,United States,Pennsylvania,North America
ORD-500166,2026-03-08,C-2050,User Name 2050,user_2050@example.com,Home Decor,Desk Lamp,34.99,1,0.0,34.99,10.87,Debit Card,United States,Florida,North America
ORD-500167,2026-01-25,C-2113,User Name 2113,user_2113@example.com,Books,Self-Help Book,12.99,1,0.2,10.39,2.3,Debit Card,United States,New York,North America
ORD-500168,2026-06-11,C-2129,User Name 2129,user_2129@example.com,Electronics,Monitor,189.99,2,0.0,379.98,133.75,PayPal,United States,Florida,North America
